publication_id,study_family_id,experiment_id,sample_id,citation_label,doi,year,experiment_label,participants_total,participants_in_analysis,samples_detail,paradigm,modality,affective_status,effector_type,content_class_v2,manipulation,measured_outcome,report_type,theory_attribution_by_authors,theory_attribution_later,later_attribution_evidence,later_attribution_detail,theory_attribution_coder,by_authors_named,later_named,later_context_read,theory_addressed,theory_addressed_strict,theory_addressed_incl_coder,contested_inclusion,contested_reason,ancillary_experiment,has_content_manipulation,legacy_content,legacy_theory_addressed,evidence_status,notes,unit_type
P11,F11,P11-E1,P11-E1-S1,Tsuchiya & Koch 2005,10.1038/nn1500,2005,Psychophysical experiments (number not verifiable from abstract),not stated in abstract,not stated in abstract,,Continuous flash suppression; negative afterimage strength,visual,neutral,,neutral-visual,Perceptual suppression of an adaptor by CFS,Afterimage strength; trial-wise visibility,report,not verifiable from abstract (no theory named),"GNWT: Dehaene & Changeux 2011, doi:10.1016/j.neuron.2011.03.018 (reference list)",REFLIST,reference list only,IIT/RPT per legacy; no source located naming either — coder inference only,False,True,False,True,False,True,False,,False,True,neutral-visual,RPT/IIT,abstract only (full text not accessible in sandbox),,publication-as-one (partition unverified)
P12,F12,P12-E1,P12-E1-S1,Pitts et al. 2014,10.3389/fpsyg.2014.01078,2014,EEG experiment (a separate 12-participant behavioural calibration study set the SOAs; not counted as an access experiment),26,18,"26 tested; 3 excluded for EEG artefact, 5 for awareness of 16 ms stimuli","Inattentional blindness with task-irrelevant textures; masking SOA; EEG (no-report during task, awareness assessed post hoc)",visual,neutral,,neutral-visual,Awareness (aware vs unaware phase) × task relevance of line-texture shapes; masking SOA,"ERP components (VAN, P3b) as a function of awareness and task relevance",no-report (awareness assessed post hoc),"none named (full text: cites Dehaene & Naccache 2001 / Dehaene et al. 2006 for the definition of ""access consciousness""; no theory tested or named)","Boly et al. 2017, doi:10.1523/jneurosci.3218-16.2017 (reference list)",REFLIST,reference list only,GNWT-relevant (P3b dissociated from awareness) — coder inference; legacy coded GNWT,False,False,False,False,False,True,False,,False,True,neutral-visual,GNWT,full text read,,experiment
P13,F13,P13-E1,P13-E1-S1;P13-E1-S2;P13-E1-S3,Kronemer et al. 2022,10.1038/s41467-022-35117-4,2022,Report Paradigm,144 healthy recruited across the four healthy data sets (publication level) + 7 patients,fMRI 34; hdEEG 57; patients 7,S1 fMRI N=37 (34 in the reported fMRI analysis); S2 hdEEG+eye tracking N=59 (57 analysed); S3 patients with thalamic electrodes N=7 (6 with scalp+icEEG),"Visual detection of faint discs at threshold; Report and Report + No-Report paradigms; hdEEG, fMRI, pupillometry, thalamic iEEG",visual,neutral,,neutral-visual,Perceived vs not perceived threshold stimuli; report vs no report,"ERPs, fMRI network changes, thalamic awareness potential",report,none named (full text: Baars 2005 and Tononi et al. 2016 cited only as background refs 2–3; no theory tested),,,,GNWT per legacy — coder inference only,False,False,False,False,False,True,False,,False,True,neutral-visual,GNWT,full text read,,experiment
P13,F13,P13-E2,P13-E2-S1;P13-E2-S2,Kronemer et al. 2022,10.1038/s41467-022-35117-4,2022,Report + No-Report Paradigm (eye-metric classification of perceived vs not perceived),see E1 (144 healthy recruited at publication level),fMRI 65; hdEEG 65,S1 fMRI+eye tracking N=65; S2 hdEEG+eye tracking N=65,"Visual detection of faint discs at threshold; Report and Report + No-Report paradigms; hdEEG, fMRI, pupillometry, thalamic iEEG",visual,neutral,,neutral-visual,Perceived vs not perceived threshold stimuli; report vs no report,"ERPs, fMRI network changes, thalamic awareness potential",both,none named (as E1),,,,GNWT per legacy — coder inference only,False,False,False,False,False,True,False,,False,True,neutral-visual,GNWT,full text read,,experiment
P14,F14,P14-E1,P14-E1-S1,Dellert et al. 2025,10.1016/j.cub.2025.10.026,2025,Single fMRI experiment (per abstract),63,not stated in abstract,,No-report inattentional deafness; aware vs unaware groups; fMRI,auditory,neutral,,neutral-nonvisual,Awareness of task-irrelevant critical sounds (between-group aware vs unaware),fMRI activation in auditory vs fronto-parietal/attention regions,no-report,"not verifiable from abstract (""prominent theories disagree about sensory versus fronto-parietal activity""; no theory named in abstract)",,,,GNWT vs IIT framing per legacy — coder inference only,False,False,False,False,False,True,False,,False,True,neutral-nonvisual,GNWT/IIT,abstract only (full text not accessible in sandbox),,publication-as-one (partition unverified)
P16,F16,P16-E1,P16-E1-S1,Maniscalco & Lau 2012,10.1016/j.concog.2011.09.021,2012,Single experiment accompanying the method,30,30,30 participants per Methods (count confirmed by the first coder; abstract read here),2-interval forced-choice visual task with confidence ratings; meta-d′ estimation,visual,neutral,,neutral-visual,None over access; confidence ratings on a visual discrimination,Metacognitive sensitivity (meta-d′) relative to d′,report,not verifiable from abstract (measurement paper; no theory named),"HOT: Brown, Lau & LeDoux 2019, doi:10.1016/j.tics.2019.06.009 (reference list); HOSS: Fleming & Daw 2017, doi:10.1037/rev0000045 (context read: cited for the meta-d′ method, not as evidence)",REFLIST,reference list / method citation only,HOT/HOSS measurement framework (codebook §5) — coder inference,False,True,False,True,False,True,True,"metacognitive index, not access manipulation",False,True,neutral-visual,HOT/HOSS,abstract only (full text not accessible in sandbox),,publication-as-one (partition unverified)
P17,F17,P17-E1,P17-E1-S1,Rounis et al. 2010,10.1080/17588921003632529,2010,Single experiment (per abstract),not stated in abstract,not stated in abstract,,Bilateral theta-burst TMS to DLPFC; visual discrimination with visibility ratings,visual,neutral,,neutral-visual,TMS to DLPFC vs control; stimulus discrimination held constant,Visibility ratings and metacognitive sensitivity (type-2 SDT),report,"not verifiable from abstract (no theory named; PFC activations ""may reflect a critical metacognitive process"")","HOSS: Fleming & Daw 2017, doi:10.1037/rev0000045 (context read: evidence for PFC role in confidence); HOT: Lau & Rosenthal 2011, doi:10.1016/j.tics.2011.05.009; Brown, Lau & LeDoux 2019 (reference lists); GNWT: Dehaene & Changeux 2011 (reference list)",CONTEXT_NAMED;REFLIST,Fleming & Daw 2017 context read; others reference list only,,False,True,True,True,True,True,True,"metacognitive index, not access manipulation (TMS alters visibility ratings/metacognitive sensitivity with d′ unchanged)",False,True,neutral-visual,HOT/HOSS,abstract only (full text not accessible in sandbox),,publication-as-one (partition unverified)
P18,F18,P18-E1,P18-E1-S1,Fleming et al. 2010,10.1126/science.1191883,2010,Single experiment,32,32,,Perceptual 2-IFC with confidence; VBM/DTI,visual,neutral,,neutral-visual,None over access; inter-individual metacognitive accuracy at matched performance,Metacognitive accuracy vs grey-matter volume and white-matter microstructure,report,none named (full text: no theory of consciousness named),"HOSS: Fleming & Daw 2017, doi:10.1037/rev0000045 (context read: aPFC role; data set re-used); HOT: Lau & Rosenthal 2011 (reference list); GNWT: Dehaene & Changeux 2011 (reference list)",CONTEXT_NAMED;REFLIST,Fleming & Daw 2017 context read; others reference list only,,False,True,True,True,True,True,True,"metacognitive index, not access manipulation (individual differences in confidence–accuracy correspondence)",False,True,neutral-visual,HOT/HOSS,full text read,,experiment
P19,F19,P19-E1,P19-E1-S1;P19-E1-S2;P19-E1-S3,Fleming et al. 2014,10.1093/brain/awu221,2014,Single experiment (three groups),37,37,S1 anterior PFC lesion n=7; S2 temporal-lobe lesion n=11; S3 healthy controls n=19,Perceptual and memory tasks with confidence in aPFC lesion patients vs comparison groups,visual,neutral,,neutral-visual,Lesion group (aPFC vs temporal vs control) × domain (perception vs memory),Metacognitive accuracy (meta-d′) with performance matched,report,none named (full text: Lau & Rosenthal 2011 cited among evidence for aPFC in metacognition; no theory tested),"HOSS: Fleming & Daw 2017, doi:10.1037/rev0000045 (context read: lesion evidence for PFC in confidence); HOT: Brown, Lau & LeDoux 2019 (reference list)",CONTEXT_NAMED;REFLIST,Fleming & Daw 2017 context read; Brown 2019 reference list only,,False,True,True,True,True,True,True,"metacognitive index, not access manipulation (domain-specific meta-d′ deficit)",False,True,neutral-visual,HOT/HOSS,full text read,,experiment
P20,F20,P20-E1,P20-E1-S1,Dijkstra & Fleming 2023,10.1038/s41467-023-37322-1,2023,"Experiment 1 (online, one trial per participant)",400,272,,One-trial-per-participant imagery/perception judgements; reality threshold model (fMRI re-analysis of an earlier data set not counted as a new experiment),visual,neutral,,neutral-visual,Imagined vs presented gratings; signal strength / vividness,Reality judgements; vividness; model comparison,report,"HOT — Discussion: results ""in line with both higher-order theories of consciousness and recent models of… perceptual reality monitoring"" (consistency claim, not a stated test)",,,,,True,False,False,True,True,True,False,,False,True,neutral-visual,HOT/HOSS,full text read,,experiment
P20,F20,P20-E2,P20-E2-S1,Dijkstra & Fleming 2023,10.1038/s41467-023-37322-1,2023,"Experiment 2 (online, one trial per participant)",461,339,,One-trial-per-participant imagery/perception judgements; reality threshold model (fMRI re-analysis of an earlier data set not counted as a new experiment),visual,neutral,,neutral-visual,Imagined vs presented gratings; signal strength / vividness,Reality judgements; vividness; model comparison,report,HOT — as Experiment 1 (Discussion),,,,,True,False,False,True,True,True,False,,False,True,neutral-visual,HOT/HOSS,full text read,,experiment
P21,F21,P21-E1,P21-E1-S1,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,Experiments 1–6 (cue-awareness and contingency-awareness manipulations; per-experiment partition not verifiable from abstract),not stated in abstract,not stated in abstract,,Cued attention tasks with awareness of cue or of cue–target contingency manipulated (eight experiments per abstract),visual,neutral,,neutral-visual,Visual awareness of the cue; awareness of the cue–target contingency,Exogenous and endogenous attention effects (reaction time),report,"AST — abstract: ""over six experiments, we examined… to test predictions of AST""",,,,,True,False,False,True,True,True,False,,False,True,neutral-visual,AST,abstract only (full text not accessible in sandbox),"Abstract reports eight experiments in total; only the abstract could be read, so the eight are carried as two blocks (1–6 and 7–8) rather than eight rows; this understates the experiment count for this publication",experiment-group
P21,F21,P21-E2,P21-E2-S1,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,Experiments 7–8 (implicit attention shift generalisation; per abstract),not stated in abstract,not stated in abstract,,Cued attention tasks with awareness of cue or of cue–target contingency manipulated (eight experiments per abstract),visual,neutral,,neutral-visual,Visual awareness of the cue; awareness of the cue–target contingency,Exogenous and endogenous attention effects (reaction time),report,"AST — abstract (""Each of these findings matched predictions of AST"")",,,,,True,False,False,True,True,True,False,,False,True,neutral-visual,AST,abstract only (full text not accessible in sandbox),,experiment-group
P22,F22,P22-E1,P22-E1-S1,"Morsella, Gray & Krieger 2009",10.1037/a0017121,2009,Study 1: arm movements (reach vs wiggle),18,18,,"Sustaining identical, compatible or incompatible intentions without movement; introspective ratings of ""activity""",motor,neutral,skeletal,motor-conflict (skeletal),Compatibility of sustained intentions (identical / compatible / incompatible); effector system,Introspective ratings of activity / urge,report,"SIT — Introduction: ""This hypothesis is from a theory (Morsella, 2005) in which the primary function of consciousness is to integrate potentially conflicting skeletomotor intentions""","PFT: Morsella et al. 2015, doi:10.1017/s0140525x15000643 (context read; cited as evidence)",CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,motor-conflict,SIT,full text read,,experiment
P22,F22,P22-E2,P22-E2-S1,"Morsella, Gray & Krieger 2009",10.1037/a0017121,2009,Study 2: finger movements,14,14,,"Sustaining identical, compatible or incompatible intentions without movement; introspective ratings of ""activity""",motor,neutral,skeletal,motor-conflict (skeletal),Compatibility of sustained intentions (identical / compatible / incompatible); effector system,Introspective ratings of activity / urge,report,SIT — as Study 1,PFT: Morsella et al. 2015 (context read),CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,motor-conflict,SIT,full text read,,experiment
P22,F22,P22-E3,P22-E3-S1,"Morsella, Gray & Krieger 2009",10.1037/a0017121,2009,Control study: smooth-muscle (pupillary light reflex) conflict vs no conflict,14,14,,"Sustaining identical, compatible or incompatible intentions without movement; introspective ratings of ""activity""",motor,neutral,autonomic,motor-conflict (autonomic effector),Compatibility of sustained intentions (identical / compatible / incompatible); effector system,Introspective ratings of activity / urge,report,SIT — corollary hypothesis that conflict outside the skeletomotor system produces no subjective effect (Introduction; Control Study),"PFT: Morsella et al. 2015 (context read: ""Integrations involving smooth muscle effectors… can occur unconsciously (Morsella et al. 2009a)"")",CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,True,True,motor-conflict,SIT,full text read,"Content whose access is measured: experienced conflict between a sustained intention and an autonomic effector (pupillary light reflex), not a visceral afferent signal. Re-coded from 'interoceptive' to 'motor-conflict (autonomic effector)' on 24 Sep 2026 after the class definitions were sharpened (criteria v2.1: interoceptive = content from visceral afferents; motor-conflict split into skeletal / autonomic-effector). It is the only theory-addressed experiment on autonomic-effector conflict in the sample — a control condition inside the supramodular programme, and the empirical anchor of M4c. Result: no subjective effect. Ancillary.",experiment
P23,F23,P23-E1,P23-E1-S1,"Gray, Bargh & Morsella 2013",10.1007/s00221-013-3566-5,2013,Single fMRI experiment,14,14,,Sustaining compatible vs incompatible finger intentions and Stroop-like task during fMRI,motor,neutral,skeletal,motor-conflict (skeletal),Compatible vs incompatible sustained intentions; congruent vs incongruent Stroop-like trials,Subjective ratings in scanner; BOLD correlates,report,SIT — abstract states the skeletomotor-conflict hypothesis of consciousness as the hypothesis tested (theory label itself not in abstract),"PFT: Morsella et al. 2015, doi:10.1017/s0140525x15000643 (context read)",CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,motor-conflict,SIT,abstract only (full text not accessible in sandbox),,publication-as-one (partition unverified)
P24,F24,P24-E1,P24-E1-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,"Experiment 1 (subvocal Stroop, motionless)",15,15,,Vocal and subvocal Stroop; trial-level introspection of urge to err,motor,neutral,skeletal,motor-conflict (skeletal),Stroop congruency; expressed vs unexpressed (subvocal) response,Trial-level urge-to-err / difficulty / competition ratings,report,"SIT — Introduction (""According to supramodular interaction theory (Morsella, 2005)…"")","PFT: Morsella et al. 2015, doi:10.1017/s0140525x15000643 (context read)",CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,motor-conflict,SIT,full text read,"Participant counts taken from results sentences (""k of the N participants""); recruited totals not separately stated in the extracted text",experiment
P24,F24,P24-E2,P24-E2-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,"Experiment 2 (vocal vs subvocal, within-participant)",112,112,,Vocal and subvocal Stroop; trial-level introspection of urge to err,motor,neutral,skeletal,motor-conflict (skeletal),Stroop congruency; expressed vs unexpressed (subvocal) response,Trial-level urge-to-err / difficulty / competition ratings,report,SIT — as Experiment 1,PFT: Morsella et al. 2015 (context read),CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,motor-conflict,SIT,full text read,"Participant counts taken from results sentences (""k of the N participants""); recruited totals not separately stated in the extracted text",experiment
P24,F24,P24-E3,P24-E3-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,"Experiment 3 (difficulty, competition, control ratings)",34,34,,Vocal and subvocal Stroop; trial-level introspection of urge to err,motor,neutral,skeletal,motor-conflict (skeletal),Stroop congruency; expressed vs unexpressed (subvocal) response,Trial-level urge-to-err / difficulty / competition ratings,report,SIT — as Experiment 1,PFT: Morsella et al. 2015 (context read),CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,motor-conflict,SIT,full text read,"Participant counts taken from results sentences (""k of the N participants""); recruited totals not separately stated in the extracted text",experiment
P26,F26,P26-E1,P26-E1-S1,"Yang, Zald & Blake 2007",10.1037/1528-3542.7.4.882,2007,"b-CFS experiments (abstract lists upright, inverted and eyes-only stimulus sets; partition into experiments not verifiable from abstract)",not stated in abstract,not stated in abstract,,"Breaking continuous flash suppression; fearful vs neutral vs happy faces, upright, inverted, eyes-only",visual,valenced,,valenced,Emotional expression (fear vs neutral vs happy); inversion; eyes-only,Time to break suppression (detection latency),report,none named (abstract-only),,,,none of the coded theories,False,False,False,False,False,False,False,,False,True,valenced,none of the coded theories,abstract only (full text not accessible in sandbox),,publication-as-one (partition unverified)
P27,F27,P27-E1,P27-E1-S1,Sheth & Pham 2008,10.1016/j.visres.2008.07.013,2008,Rivalry dominance experiment(s) (partition not verifiable from abstract),not stated in abstract,not stated in abstract,,Binocular rivalry with IAPS-type natural images varied in arousal and valence,visual,valenced,,valenced,Arousal and valence of rival images (iso-valence / iso-arousal pairs),Dominance durations,report,none named (abstract-only),,,,none of the coded theories,False,False,False,False,False,False,False,,False,True,valenced,none of the coded theories,abstract only (full text not accessible in sandbox),,publication-as-one (partition unverified)
P28,F28,P28-E1,P28-E1-S1,Gayet et al. 2016,10.1016/j.cognition.2016.01.009,2016,Conditioning + b-CFS experiment(s) (partition not verifiable from abstract),not stated in abstract,not stated in abstract,,Fear conditioning of colour annuli followed by breaking CFS,visual,valenced,,valenced,Shock-paired vs unpaired stimulus (acquired threat value),Time to break suppression,report,none named (abstract-only),,,,none of the coded theories,False,False,False,False,False,False,False,,False,True,valenced,none of the coded theories,abstract only (full text not accessible in sandbox),,publication-as-one (partition unverified)
P29,F29,P29-E1,P29-E1-S1,Whalen et al. 1998,10.1523/jneurosci.18-01-00411.1998,1998,Single fMRI experiment,10,10,10 participants; 8 of 10 reported not seeing the masked expressions,Backward-masked fearful vs happy faces; amygdala fMRI,visual,valenced,,valenced,Valence of masked expression (fear vs happy); access held below threshold by masking,Amygdala and substantia innominata BOLD,report (post hoc awareness questionnaire),none named (abstract-only; framed as nonconscious amygdala processing),"GNWT: Dehaene & Naccache 2001, doi:10.1016/s0010-0277(00)00123-2 (reference list; presumably as subliminal-processing evidence — context not read)",REFLIST,reference list only,,False,True,False,True,False,True,True,"access suppressed by masking, not manipulated; excluded from the baseline scenario",False,True,valenced,none of the coded theories,abstract only (full text not accessible in sandbox),,publication-as-one (partition unverified)
P30,F30,P30-E1,P30-E1-S1,Charles et al. 2013,10.1016/j.neuroimage.2013.01.054,2013,Experiment 1 (high time pressure),17,13,,Masked digit comparison under time pressure; conscious vs subliminal error detection; EEG/MEG,visual,neutral,,neutral-visual,Masking SOA (seen vs unseen digit); error vs correct response,ERN amplitude and source; error-detection accuracy by visibility,report,"GNWT — Introduction: ""The Global Neuronal Workspace (GNW) model proposes that conscious access is associated with a sharp non-linear transition""; higher-order/metacognitive identification of consciousness discussed critically","GNWT: Mashour et al. 2020, doi:10.1016/j.neuron.2020.01.026 (context read: conscious error-detection model); HOSS: Fleming & Daw 2017, doi:10.1037/rev0000045 (context read: error signals modulated by uncertainty)",CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,neutral-visual,GNWT,full text read,"Access manipulation is over the visual digit; error detection is the outcome, so content stays neutral-visual (codebook §4.2 boundary rule ii)",experiment
P30,F30,P30-E2,P30-E2-S1,Charles et al. 2013,10.1016/j.neuroimage.2013.01.054,2013,"Experiment 2 (reduced time pressure, replication)",16,13,,Masked digit comparison under time pressure; conscious vs subliminal error detection; EEG/MEG,visual,neutral,,neutral-visual,Masking SOA (seen vs unseen digit); error vs correct response,ERN amplitude and source; error-detection accuracy by visibility,report,GNWT — as Experiment 1,as Experiment 1,CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,neutral-visual,GNWT,full text read,"Access manipulation is over the visual digit; error detection is the outcome, so content stays neutral-visual (codebook §4.2 boundary rule ii)",experiment
