status,table,doi,title,url,cells
closed — institutional access or author copy,S1,10.1038/nn.3671,Spontaneous fluctuations in neural responses to heartbeats p,https://doi.org/10.1038/nn.3671,S1 NSF×M8 [INTERPRETED]; S1 NSF×M4b [EXPLICIT]
closed — institutional access or author copy,S2,10.1038/89551,Cerebral mechanisms of word masking and unconsciou,https://doi.org/10.1038/89551,S2 P04-E1
closed — institutional access or author copy,S2,10.1038/nn1500,Continuous flash suppression reduces negative afte,https://doi.org/10.1038/nn1500,S2 P11-E1
closed — institutional access or author copy,S2,10.1038/nn1549,Timing of the brain events underlying access to co,https://doi.org/10.1038/nn1549,S2 P07-E1
closed — institutional access or author copy,S2,10.1080/17588921003632529,Theta-burst transcranial magnetic stimulation to t,https://doi.org/10.1080/17588921003632529,S2 P17-E1
closed — institutional access or author copy,S2,10.1111/1469-8986.3850752,Error‐related brain potentials are differentially ,https://doi.org/10.1111/1469-8986.3850752,S2 P31-E1
closed — institutional access or author copy,S2,10.1126/science.280.5371.1930,Neural Correlates of Perceptual Rivalry in the Hum,https://doi.org/10.1126/science.280.5371.1930,S2 P09-E1
fetched (Europe PMC),S1,10.1038/s41562-017-0069,Evidence for a large-scale brain system supporting allostasi,https://www.ncbi.nlm.nih.gov/pmc/articles/5624222,S1 PP×M5 [INTERPRETED]
fetched (Europe PMC),S1,10.1098/rstb.2016.0007,Active interoceptive inference and the emotional brain,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0007,S1 PP×M7 [EXPLICIT]; S1 PP×M4a [EXPLICIT]; S1 PP×M4b [INTERPRETED]; S1 PP×M4c [INTERPRETED]
fetched (Europe PMC),S1,10.1371/journal.pcbi.1003094,Emotional Valence and the Free-Energy Principle,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal,S1 PP×M3 [EXPLICIT]
fetched (Europe PMC),S1,10.3389/fpsyg.2015.00500,The attention schema theory: a mechanistic account of subjec,https://www.frontiersin.org/articles/10.3389/fpsyg.2015.00500/pdf,S1 AST×M1 [NOT_LOCATED]; S1 AST×M2 [NOT_LOCATED]; S1 AST×M3 [NOT_LOCATED]; S1 AST×M5 [NOT_LOCATED]; S1 AST×M6 [INTERPRET
fetched (Europe PMC),S1,10.3390/bs14040337,Identifying Consciousness in Other Creatures: Three Initial ,https://www.mdpi.com/2076-328X/14/4/337/pdf?version=1713344080,S1 PFT×M2 [INTERPRETED]
