experiment_id,publication_id,citation_label,current_unit_type,proposed_unit_type,n_experiments_in_publication,n_participants_analysed,modality,affective_status,effector_type,manipulation,measured_outcome,report_type,theory_attribution_by_authors,by_authors_locus,contested_inclusion,contested_reason,quote,note,proposed_new_row
P14-E1,P14,Dellert et al. 2025,publication-as-one (partition unverified),"publication-as-one (single fMRI experiment with a between-group awareness contrast; phase 2 detection test is a check on the same sample, not a separate experiment; confirmed)",1,"55 analysed (26 informed-aware, 29 uninformed-unaware) of 63 recruited; 5 informed-but-unaware and 1 late-noticer excluded",auditory,neutral,,Between-group awareness of task-irrelevant critical speech sounds in background noise (informed/aware vs uninformed/unaware) during an auditory oddball distractor task; physically identical stimulation,"fMRI responses to critical sounds (critical vs null) in each group and aware vs unaware contrast, frequentist and Bayesian; awareness assessment; phase-2 detection d′",no-report (awareness assessed once after imaging by post hoc questionnaire; no trial-wise report during the awareness phase),"GNWT, HOT, RPT, IIT — all four named in the Introduction as the theories that disagree about sensory vs fronto-parietal NCCs, and in the Discussion as the frameworks the result bears on (result ""better compatible"" with RPT and IIT; frontal effects ""compatible with"" GNWT/HOT in location but not in strength)","Introduction: 'Recent research has focused on four prominent theoretical approaches,2,3 which strongly disagree about whether NCCs can be localized in sensory or fronto-parietal brain areas.4,5 Most prominently, the global neuronal workspace theory (GNWT)6–9 argues ... higher-order theories (HOTs).11,12 In contrast, the recurrent processing theory (RPT)13–16 argues ... integrated information theory (IIT)17,18'. Discussion: 'These results are better compatible with theories of consciousness emphasizing the role of sensory rather than cognitive processing.1–4 Specifically, they are consistent with the idea of RPT13–15 ... or with the proposal of IIT17,18 ... In contrast, stronger PFC activations would have been predicted in the case of ... HOT11,12 and the ...' and 'Whereas the location of these effects is compatible with information broadcasting in a global workspace,9 their strength does not correspond to its assumed large-scale ignition.'",False,,"Results, Awareness and task performance: 'In the awareness assessment after neuroimaging (phase 1), 27 out of 32 informed participants reported having been aware of the critical stimulus during the distractor task. In contrast, all 31 uninformed participants remained unaware of it. The five informed but unaware participants were excluded, as well as one who only noticed the critical stimuli in the fourth block. Together, this resulted in samples of 26 informed, aware participants and 29 uninformed, unaware participants for the final analyses.' STAR Methods: 'A sample of 63 right-handed human participants ... After exclusions (see results), the final sample consisted of 55 participants (31 female, 24 male)'.","No partition change. Attribution changes from ""not verifiable from abstract"" to four coded theories named by the authors (GNWT, HOT, RPT, IIT). participants_in_analysis = 55 (not 63).",False
P16-E1,P16,Maniscalco & Lau 2012,publication-as-one (partition unverified),publication-as-one (single behavioural experiment accompanying the method; confirmed),1,27 analysed (paired t-test t(26); Supplementary figure legend states 27 subjects) of 30 who performed the task; the exclusion of 3 is not explained in the main text,visual,neutral,,"None over access; spatial 2IFC visual discrimination with contrast titration, followed by four-point confidence ratings",Metacognitive (type 2) sensitivity meta-d′ relative to d′ (mean meta-d′/d′ = 0.77),report (trial-wise confidence rating on a four-point scale),none named (measurement paper; Lau & Rosenthal 2011 is cited only as one of several models on which 'type 2 decisions are based upon further processing of the same information used to make type 1 decisions'; no theory is named as tested or as the framework the result bears on; §4.3 explicitly declines to treat type 2 sensitivity as a measure of awareness),"none; nearest passages: Discussion 4.1: 'For instance, on some models, type 2 decisions are based upon further processing of the same information used to make type 1 decisions (Lau & Rosenthal, 2011; Maniscalco & Lau, 2010; Pleskac & Busemeyer, 2010).' Discussion 4.3: 'Thus it does not seem tenable to use type 2 sensitivity as a hard and fast measure of awareness.'",True,"Metacognitive index (meta-d′), not an access manipulation or an awareness measure; the authors themselves state in §4.3 that type 2 sensitivity should not be used as a measure of awareness","Methods: 'Thirty participants performed a spatial 2IFC task. In each trial, participants distinguished between 2 spatial arrangements of visual stimuli and then rated their confidence in the accuracy of their responses on a four-point scale.' Results: 'a paired t-test reveals that the mean level of meta-d′ (1.37) was significantly lower than the mean d′ (1.78), t(26) = 3.0, p = .006.' Supplementary legend: '27 subjects performed a spatial 2IFC task and rated confidence in response accuracy (Study 1 from main text).'","No partition change. participants_in_analysis should be 27, not 30 (participants_total 30 stands). Contested status confirmed by the authors’ own §4.3.",False
P17-E1,P17,Rounis et al. 2010,publication-as-one (partition unverified),publication-as-one (partition unverified — full text NOT available; see note),not verifiable (full text not read),"PROVISIONAL, second-hand: 20 participants, from Bor et al. 2017 (PLOS ONE) describing ""summary data kindly supplied by Rounis and colleagues, 13/20 participants in their study""; not read in the Rounis 2010 text itself",visual,neutral,,TMS to DLPFC vs control; stimulus discrimination held constant (unchanged; abstract-only),Visibility ratings and metacognitive sensitivity (type-2 SDT) (unchanged; abstract-only),report (unchanged; abstract-only),not verifiable from abstract (unchanged; the abstract names no theory),none available,True,"metacognitive index, not access manipulation (TMS alters visibility ratings/metacognitive sensitivity with d′ unchanged) (unchanged)","Abstract (via CrossRef): 'A signal detection theory analysis confirmed that the results reflect a change in metacognitive sensitivity, not just response bias. The effect was specific to metacognition; TMS did not change stimulus discrimination performance'.","FILE MISMATCH: fulltext/10_1080_17588921003632529.txt (manifest: Rounis et al. 2010, 20 pages) contains Bor, Schwartzman, Barrett & Seth 2017, ""Theta-burst transcranial magnetic stimulation to the prefrontal or parietal cortex does not impair metacognitive visual awareness"" (PLOS ONE), the failed replication of Rounis et al. A fetch of the correct DOI failed (closed access, no OA location). No field was coded from the wrong paper; evidence_status for this row remains abstract-only. The first coder should replace the PDF. Bor et al. 2017 may itself be a candidate inventory publication (two cTBS experiments, n=90 and n=27 recruited) but is outside this reading task.",False
P21-E1,P21,Wilterson et al. 2020,experiment-group,"experiment (Experiment 1: baseline, full awareness of cue and contingencies) — re-scoped from ""Experiments 1–6""",6,28 analysed of 29 tested,visual,neutral,,None over awareness within the experiment (baseline: participants informed of the visible red cue and of the cue–target contingency); cue validity (predicted vs non-predicted side; cue location) manipulated to measure exogenous and endogenous attention,Reaction-time difference scores ΔRTX (exogenous) and ΔRTN (endogenous); accuracy,report (posttest questions on seeing the cue; task performance),"AST — named as the theory tested (Abstract, Introduction §1.1 ""Using AST to make predictions"", General discussion §25.2)","Abstract: 'Here, over six experiments, we examined interactions between attention and awareness to test predictions of AST.' ... 'Each of these findings matched predictions of AST.' Introduction: 'The purpose of the present set of six experiments was to ...'; §1.1 'Using AST to make predictions about attention and awareness'.",True,No awareness manipulation or awareness measure within the experiment; it is the full-awareness baseline against which Experiments 2–4 are compared (between-experiment contrast). Candidate ancillary_experiment = True; first coder to decide,"§3.1 Subjects: 'Twenty-nine subjects were tested (18–33 years old, 12 women, normal or corrected-to-normal vision). ... Thus, 28 were included in the final analysis.' §2: 'The purpose of experiment 1 was to collect baseline data on the magnitude of the exogenous and endogenous attention effects when subjects were fully aware of all aspects of the task.'","PARTITION CHANGE: the body reports exactly six experiments (Experiments 1–6, each with its own non-overlapping sample). The abstract’s ""six experiments"" plus ""an additional two experiments"" refers to Experiments 1–4 (awareness manipulations) and 5–6 (generalisation), not to eight; the current two-block partition (1–6 and 7–8) should be replaced by six rows. Proposal: P21-E1 → Experiment 1, P21-E2 → Experiment 2, new rows P21-E3..E6.",False
P21-E2,P21,Wilterson et al. 2020,experiment-group,"experiment (Experiment 2: contingency-unaware, cue visible) — re-scoped from ""Experiments 7–8"" (which do not exist)",6,25 analysed of 34 tested,visual,neutral,,Awareness of the cue–target contingency removed (participants not told; posttest confirms unawareness); cue clearly visible; compared with Experiment 1,ΔRTX and ΔRTN (both remained significant without contingency awareness),report (posttest questions on noticing the cue–target pattern),"AST — named as the theory tested (Abstract, Introduction §1.1 ""Using AST to make predictions"", General discussion §25.2)","Abstract: 'Here, over six experiments, we examined interactions between attention and awareness to test predictions of AST.' ... 'Each of these findings matched predictions of AST.' Introduction: 'The purpose of the present set of six experiments was to ...'; §1.1 'Using AST to make predictions about attention and awareness'.",True,"The content whose awareness is manipulated is knowledge of an abstract cue–target contingency (implicit learning), not conscious access to a perceptual content; whether this meets I1 is for the first coder to decide","§7 Methods for experiment 2: 'Thirty-four subjects, not tested in experiment 1, were tested in experiment 2 ... Twenty-five subjects were included in the final analysis.' §8.1: 'Of the 25 subjects included in the analysis, when asked after testing whether they had noticed any pattern or relationship between the cue and the target ... all said that they had noticed no other pattern'.",Re-scoped row (see P21-E1 note).,False
P21-E3,P21,Wilterson et al. 2020,none (proposed new row),experiment (Experiment 3: cue rendered subjectively invisible by black-on-black masking; contingency-unaware),6,27 analysed of 35 tested,visual,neutral,,Visual awareness of the cue removed (black cue followed by black mask; participants not informed of the cue) in addition to contingency unawareness; compared with Experiments 1–2,"ΔRTX (exogenous effect survived: 7.43 ms, p = 0.016) and ΔRTN (endogenous effect impaired)","report (post hoc awareness questioning after all trials, including a slowed-down demonstration; no trial-wise report by design)","AST — named as the theory tested (Abstract, Introduction §1.1 ""Using AST to make predictions"", General discussion §25.2)","Abstract: 'Here, over six experiments, we examined interactions between attention and awareness to test predictions of AST.' ... 'Each of these findings matched predictions of AST.' Introduction: 'The purpose of the present set of six experiments was to ...'; §1.1 'Using AST to make predictions about attention and awareness'.",False,,"§11 Methods for experiment 3: 'when a black cue is followed by a black mask, the cue becomes subjectively invisible (Lin and Murray, 2015). In the instruction period, subjects were not told about the presence of the cue.' 'Thirty-five subjects, not tested in experiments 1 or 2, were tested in experiment 3 ... Thus 27 participants were included in the final analysis.'",Proposed new row; the core awareness manipulation of the publication.,True
P21-E4,P21,Wilterson et al. 2020,none (proposed new row),experiment (Experiment 4: as Experiment 3 with 600 trials and a larger sample),6,36 analysed of 43 tested,visual,neutral,,Visual awareness of the cue removed (as Experiment 3); trials tripled to 600 to test whether an endogenous effect emerges with extended implicit exposure,ΔRTN by block (no clear endogenous effect in first five blocks; possible emergence by the final block); ΔRTX,report (post hoc awareness questioning; four participants who may have seen the cue removed),"AST — named as the theory tested (Abstract, Introduction §1.1 ""Using AST to make predictions"", General discussion §25.2)","Abstract: 'Here, over six experiments, we examined interactions between attention and awareness to test predictions of AST.' ... 'Each of these findings matched predictions of AST.' Introduction: 'The purpose of the present set of six experiments was to ...'; §1.1 'Using AST to make predictions about attention and awareness'.",False,,"§15 Methods for experiment 4: 'Forty-three subjects, not tested in experiments 1–3, were tested (18–22 years old, 29 women ...). ... Thus 36 participants were included in the final analysis.' §16.1: 'These four subjects were removed from the analysis.'",Proposed new row.,True
P21-E5,P21,Wilterson et al. 2020,none (proposed new row),"experiment (Experiment 5: endogenous effect with 22 cue locations and eye tracking; contingency-unaware, cue visible)",6,"30 analysed of 37 tested (4 eye-tracker failures, 2 could not see the cue clearly, 1 RT outlier)",visual,neutral,,Contingency unawareness with a clearly visible cue (as Experiment 2); expanded spatial layout; eye position recorded to separate covert from overt attention,"ΔRTN overall, on fixation-confirmed trials, and by target location; eye position/movement",report (posttest questions; task performance),"AST — named as the theory tested (Abstract, Introduction §1.1 ""Using AST to make predictions"", General discussion §25.2)","Abstract: 'Here, over six experiments, we examined interactions between attention and awareness to test predictions of AST.' ... 'Each of these findings matched predictions of AST.' Introduction: 'The purpose of the present set of six experiments was to ...'; §1.1 'Using AST to make predictions about attention and awareness'.",True,"As Experiment 2: manipulated content is contingency knowledge, not perceptual access; the authors describe it as preparation for the generalisation test of Experiment 6 (candidate ancillary_experiment = True)","§19 Methods for experiment 5: 'Thirty-seven participants, not tested in experiments 1–4, were tested here ... Thus 30 participants were included in the final analysis. As in experiment 2, subjects were exposed to a red, clearly visible cue, but were not told about the cue-target contingencies.'","Proposed new row (one of the abstract’s ""additional two experiments"").",True
P21-E6,P21,Wilterson et al. 2020,none (proposed new row),experiment (Experiment 6: spatial generalisation of implicit attention shift; training and generalisation phases),6,44 analysed of 46 tested,visual,neutral,,"Implicit learning of a cue–target contingency at 16 trained locations, then transfer to 6 untrained intermediate locations; contingency-unaware, cue visible",ΔRTN at trained vs untrained locations (generalisation),report (posttest questions; task performance),"AST — named as the theory tested (Abstract, Introduction §1.1 ""Using AST to make predictions"", General discussion §25.2)","Abstract: 'Here, over six experiments, we examined interactions between attention and awareness to test predictions of AST.' ... 'Each of these findings matched predictions of AST.' Introduction: 'The purpose of the present set of six experiments was to ...'; §1.1 'Using AST to make predictions about attention and awareness'.",True,"As Experiment 2: manipulated content is contingency knowledge, not perceptual access","§22 Methods for experiment 6: 'Forty-six participants were tested (18–51 years old, 32 women, normal or corrected-to-normal vision). ... Thus, 44 participants were included in the final analysis.' Introduction for experiment 6: 'In experiment 6, participants were first trained on 16 cue locations scattered across the screen, selected randomly among the 22 possible locations.'","Proposed new row (one of the abstract’s ""additional two experiments"").",True
P23-E1,P23,"Gray, Bargh & Morsella 2013",publication-as-one (partition unverified),"publication-as-one (single fMRI session, one sample, two tasks — sustained intentions task and MSIT — analysed separately; confirmed as one experiment; the first coder may consider splitting the two tasks)",1 (two tasks on the same sample),"14 recruited; 13 with usable fMRI data for the sustained intentions task, 12 for the MSIT",motor,neutral,skeletal,"Sustained intentions task: compatible vs incompatible finger-action intentions held in a motionless state; MSIT (Stroop-like multi-source interference task): congruent vs incongruent trials; both with trained introspective ratings of ""activity"" (urge to err)","Self-reported ""activity"" ratings in the scanner; BOLD correlates (parametric analysis with activity ratings; incongruent > congruent)","report (trial-wise introspective rating of conflict/""activity"")","SIT — named as the theory from which the tested hypothesis derives (Introduction ""Supramodular interaction theory"" section; predictions ""Based on theory (Morsella 2005)""; General discussion). The ""integration consensus"" (Baars 2002; Dehaene & Naccache 2001) is cited only as background, not as the framework tested.","Introduction: 'For instance, one “action-based” framework, Supramodular Interaction Theory (SIT; Morsella 2005), attempts to explain which aspects of action control must trigger changes in consciousness.' ... 'Based on theory (Morsella 2005) and previous findings (Morsella et al. 2011a), we predicted that the greatest urges to err would be reported in the incongruent condition'. General discussion: 'According to the theoretical developments about the role of consciousness in action production (e.g., SIT; Morsella 2005), the activation of incompatible skeletomotor plans should trigger notable and quantifiable changes in consciousness'.",False,,"Method, Participants: 'Fourteen participants participated for $20 per hour and gave informed consent under the auspices of the Yale University Human Investigation Committee.' Results: 'Thirteen participants had usable fMRI data for the analyses of the sustained intentions task, and 12 had usable data for the analyses of the MSIT.'",No partition change. SIT attribution confirmed by label in the full text (the abstract only paraphrased the hypothesis). participants_in_analysis 13/12 rather than 14.,False
P26-E1,P26,"Yang, Zald & Blake 2007",publication-as-one (partition unverified),"experiment (Experiment 1: b-CFS face detection, upright and inverted)",3,12 (t(11) throughout; no exclusions reported),visual,valenced,,Emotional expression of the suppressed face (fearful vs neutral vs happy) × orientation (upright vs inverted) under CFS; 30% catch trials without a face,Time to break suppression (RT to first emergence of any part of the face); false-alarm rate on catch trials,report (button press at the moment the face became visible),"none named (Discussion frames the result as preferential access to awareness of negatively charged expressions and amygdala-based rapid detection; no coded theory named in Introduction, Results or Discussion)",none; Discussion: 'Our results add to the growing evidence that negatively charged facial expressions gain preferential access to awareness.',False,,"Method, Participants: 'Twelve observers (3 women) were recruited for Experiment 1, 14 (11 women) for Experiment 2, and 6 (3 women) for Experiment 3.' Results: 'RTs for detecting upright fearful faces (M = 2.98 s, SD = 1.01) were significantly shorter than those for detecting upright faces displaying neutral (M = 3.25 s, SD = 1.01), t(11) = 4.01, p = .002, or happy expressions (M = 3.59, SD = .9), t(11) = 3.1, p = .01.'",PARTITION CHANGE: three experiments with separate samples. Propose P26-E1 = Experiment 1 and new rows P26-E2 (4AFC localisation) and P26-E3 (eyes only).,False
P26-E2,P26,"Yang, Zald & Blake 2007",none (proposed new row),experiment (Experiment 2: b-CFS with 4AFC quadrant localisation),3,12 analysed of 14 recruited (2 removed for >10% localisation errors),visual,valenced,,"As Experiment 1 (expression × orientation under CFS), with an objective 4AFC localisation response",RT to correct quadrant localisation of the face (fearful < neutral < happy; inversion effect); error rate,report (objective 4AFC localisation button press as the awareness criterion),"none named (Discussion frames the result as preferential access to awareness of negatively charged expressions and amygdala-based rapid detection; no coded theory named in Introduction, Results or Discussion)",none; Discussion: 'Our results add to the growing evidence that negatively charged facial expressions gain preferential access to awareness.',False,,"Results: 'In this second experiment, 2 out of 14 observers made errors greater than 10% of the time in correctly identifying the quadrant in which a face was presented, and their data were removed from the analysis. The mean error rate for the remaining 12 observers was 1.88% (SD = 1.28%)'.",Proposed new row.,True
